ID	NAME	LONG	WIDTH	MODEL	BUILDING_DESC	MAXEXIST	UPDIAMONDS	UPGOLD	METERIAL	ADDSC_PEN	SPEED	MAXGOLD	CAPACITY	GOLD_BUY	DIAMONDS_BUY	INTEGRAL_BUY	OPEN_TYPE	BUILDING_ICON	ACCOUNT_LV	POSITION	ROTATION	BUILDING_NAME_POSITION		
11003001 	破旧的仓库	4	3	scenes_construction_warehouse01	别看我小，我能装下一个包子	1		1000					10			3	1	SHOP_warehouse01_icon	1	1.2;-11.5;1.5	12;150;-5	0;12;0		
11003002 	青铜仓库	4	3	scenes_construction_warehouse01a	别看我小，我能装下一个包子	1		2000	15005000=5;15008000=5;15011000=5				20				1	SHOP_warehouse01_icon	1	0.3;-11.8;-2	7.0;145;-4	0;13;0		
11003003 	白银仓库	4	3	scenes_construction_warehouse01b	别看我小，我能装下一个包子	1		3000	15005000=10;15008000=10;15011000=10				30				1	SHOP_warehouse01_icon	1	0.3;-11.8;-2	7.0;145;-4	0;14;0		
11003004 	黄金仓库	4	3	scenes_construction_warehouse01c	别看我小，我能装下一个包子	1	40		15005000=20;15008000=20;15011000=20				40				1	SHOP_warehouse01_icon	1	0.3;-11.8;-2	7.0;145;-4	0;14;0		
11003005 	金刚石仓库	4	3	scenes_construction_warehouse01d	别看我小，我能装下一个包子	1	50		15005000=25;15008000=25;15011000=25				50				1	SHOP_warehouse01_icon	1	0.3;-11.8;-2	7.0;145;-4	0;14;0		
11004001 	萌宠驿站	4	4	scenes_construction_inn01	听说这里有各种悬赏任务，可能会有稀有宠物出现。	1		100									1	SHOP_station01_icon	1	2.2;-15;1.5	12;150;-5	0;18;0		
11005001 	萌宠小屋	3	3	scenes_construction_pet01	可以增加小岛上人口上限	1		3000					200				1	SHOP_pet01_icon	1	2.5;-11.5;-5	3;-149;0.5	0;10;0		
11005002 	萌宠小屋	3	3	scenes_construction_pet01a	可以增加小岛上人口上限	1		4000	15005000=20;15008000=20;15011000=20				300				1	SHOP_pet01_icon	1	2.5;-11.5;-5	3;-149;0.5	0;12;0		
11005003 	萌宠小屋	3	3	scenes_construction_pet01b	可以增加小岛上人口上限	1	50		15005000=25;15008000=25;15011000=25				400				1	SHOP_pet01_icon	1	2.5;-11.5;-5	3;-149;0.5	0;14;0		
11006001 	萌宠炼金所	4	4	scenes_construction_alchemy01	娃娃机，掌握核心炼金技术，通过神秘力量改变物品本质	1											1	SHOP_alchemy01_icon	1	-2.7;-13.5;1	12;-133;9	0;16;0		
11007001 	礼品小卖部	4	4	scenes_construction_shop01	这里会出现各种神秘礼物。主人，你的眼光如何。	1		12000					3				1	SHOP_shop02_icon	1	-1;-14;5	5;-130;8	0;15;0		
11008001 	泡泡小酒吧	3	3	scenes_construction_bar01	更快，更远，更持久！	1							10				1	SHOP_bar01_icon	1	2.2;-10;-3	12;150;-5	0;14;0		
11009001 	萌宠公交站	4	4	scenes_construction_station01	坐骑的乐园，可以购买坐骑，升级，更换	1											1	SHOP_station01_icon	1	-4.6;-9.5;-5	-1.25;-55;2.6	0;13;0		
11010001 	萌萌服装店	4	4	scenes_construction_clothstore01	精心为你设计服装	1											1	SHOP_clothstore01_icon	1	2;-11;5.5	-80;-170;-40	0;14;0		
11011001 	天梯竞技场	4	4	scenes_construction_arena01	这是什么鬼？	1											1	SHOP_arena01_icon	1	0.3;-8.5;-2.6	18;150;-8	0;18;0		
11012001 	夺宝奇兵营地	4	4	scenes_construction_hunter01	这又是什么鬼	1											1	SHOP_hunter01_icon	1	3;-13;1.5	10;130;-9	0;16;0		
11013001 	萌宠装备屋	3	3	scenes_construction_shop02	装备相关功能，如装备升级、更换、购买等	1											1	SHOP_station01_icon	1	-1;-12;12.5	12;150;-5	0;15;0		
																								
																								
