ID	TASK_ID	REWARD_EXP	REWARD_GOLD	REWARD_DIAMOND	REWARD_PROPS	REWARD_THREE_PROPS	REWARD_PET	REWARD_EQUIP	REWARD_CUP	CUP_GAIN_MAP	TASK_MORE	TASK_TYPE	TASK_TASK_ID	OBJ	OBJ_COUNT	TASK_GAME_MODE	GOTO_MODE	TASK_DESC	TASK_NAME	SAVE					
113002									1	17001004		4	110005	15028000 	7	1		击杀7只小黑	击杀7个小黑						
113003									1	17001004		4	110005	15028000 	13	1		击杀13个小黑	击杀7个小黑						
113004									1	17001004		4	125001	4 	2	1		击杀全部怪物	击杀全部怪物						
113005									1	17001004		4	121003		0.9	1		收集物超90%	收集超过50个收集物						
113006									1	17001004		4	120001		0	1		无伤通关	无伤通关						
113007									1	17001004		4	101001	15001000 	30	1		吃到金币30个	收集3个小银币						
113008									1	17001004		4	110005	15033000 	9	1		击杀9个小帕	击杀7个小黑						
113009									1	17001004		4	110005	15028000 	8	1		击杀8个小黑	击杀7个小黑						
113010									1	17001004		4	124001		17	1		跳跃次数不超过17	跳跃次数不超过20次						
113011									1	17001004		4	110005	15033000 	5	1		击杀5个小帕	击杀7个小黑						
113012									1	17001004		4	101004	5 	1	1		吃到1个道具	关卡中吃到2个道具						
113013									1	17001004		4	101001	15001000 	70	1		吃到金币70个	收集3个小银币						
113014									1	17001004		4	110026	15030000 	25	1		摧毁25个瓦斯弹	清除5个带刺龟壳						
113015									1	17001004		4	110005	15033000 	6	1		击杀6个小帕	击杀7个小黑						
113016									1	17001004		4	124001		14	1		跳跃次数不超过14	跳跃次数不超过20次						
113017									1	17001004		4	110005	15028000 	10	1		击杀10个小黑	击杀7个小黑						
113018									1	17001004		4	101001	15001000 	35	1		吃到金币35个	收集3个小银币						
113019									1	17001004		4	101001	15001000 	75	1		吃到金币75个	收集3个小银币						
113020									1	17001004		4	101001	15036000 	1	1		吃到1个磁铁	收集3个小银币						
113021									1	17001004		4	110005	15033000 	8	1		击杀8个小帕	击杀7个小黑						
113022									1	17001004		4	124001		12	1		跳跃次数不超过12	跳跃次数不超过20次						
113023									1	17001004		4	110026	15031000 	1	1		摧毁1个带刺龟壳	清除5个带刺龟壳						
113024									1	17001004		4	123002		60	1		攻击次数不超过60	攻击次数不超过15次						
113025									1	17001004		4	110005	15028000 	4	1		击杀4个小黑	击杀7个小黑						
113026									1	17001004		4	110005	15029000 	18	1		击杀18个疯兔	击杀7个小黑						
113027									1	17001004		4	101001	15001000 	100	1		吃到100个金币	收集3个小银币						
113028									1	17001004		4	110026	15030000 	6	1		摧毁6个瓦斯弹	清除5个带刺龟壳						
113029									1	17001004		4	110005	15028000 	9	1		击杀9个小黑	击杀7个小黑						
113030									1	17001004		4	110005	15099000 	2	1		击杀2个舔人花	击杀7个小黑						
113031									1	17001004		4	110005	15099000 	1	1		击杀1个舔人花	击杀7个小黑						
113032									1	17001004		4	110005	15106000 	4	1		击杀4个潜行鼠	击杀7个小黑						
113033									1	17001004		4	110005	15102000 	5	1		击杀5个城管鸟	击杀7个小黑						
113034									1	17001004		4	110005	15106000 	2	1		击杀2个潜行鼠	击杀7个小黑						
113035									1	17001004		4	110005	15107000 	1	1		击杀1个相扑青蛙	击杀7个小黑						
113036									1	17001004		4	110005	15028000 	6	1		击杀6个小黑	击杀7个小黑						
113037									1	17001004		4	110005	15028000 	3	1		击杀3个小黑	击杀7个小黑						
113038									1	17001004		4	110005	15028000 	15	1		击杀15个小黑	击杀7个小黑						
113039									1	17001004		4	110005	15028000 	19	1		击杀19个小黑	击杀7个小黑						
113040									1	17001004		4	124001		9	1		跳跃次数不超过9	跳跃次数不超过20次						
113041									1	17001004		4	124001		7	1		跳跃次数不超过7	跳跃次数不超过20次						
113042									1	17001004		4	124001		15	1		跳跃次数不超过15	跳跃次数不超过20次						
113043									1	17001004		4	124001		11	1		跳跃次数不超过11	跳跃次数不超过20次						
113044									1	17001004		4	124001		18	1		跳跃次数不超过18	跳跃次数不超过20次						
113045									1	17001004		4	101001	15038000	1	1		吃到1个变大道具	收集3个小银币						
113046									1	17001004		4	110005	15106000 	5	1		击杀5个潜行鼠	击杀7个小黑						
113047									1	17001004		4	110005	15106000 	7	1		击杀7个潜行鼠	击杀7个小黑						
113048									1	17001004		4	110005	15106000 	3	1		击杀3个潜行鼠	击杀7个小黑						
113049									1	17001004		4	110005	15102000 	2	1		击杀2个城管鸟	击杀7个小黑						
113050									1	17001004		4	110005	15102000 	3	1		击杀3个城管鸟	击杀7个小黑						
113051									1	17001004		4	110005	15102000 	1	1		击杀1个城管鸟	击杀7个小黑						
113052									1	17001004		4	110005	15102000 	4	1		击杀4个城管鸟	击杀7个小黑						
113053									1	17001004		4	110005	15101000 	1	1		击杀1个胆小龟	击杀7个小黑						
113054									1	17001004		4	101004	5	1	1		吃到1个道具	关卡中吃到2个道具						
113055									1	17001004		4	101001	15110000	23	1		吃到23个奶瓶	收集3个小银币						
113056									1	17001004		4	101001	15110000	14	1		吃到14个奶瓶	收集3个小银币						
113057									1	17001004		4	101001	15110000	16	1		吃到16个奶瓶	收集3个小银币						
113058									1	17001004		4	101001	15110000	13	1		吃到13个奶瓶	收集3个小银币						
113059									1	17001004		4	101001	15109000	2	1		吃到2个飞龙冲刺道具	收集3个小银币						
																									
