ID	GOODOPINION	UPGOLD	UPDIAMOND	MATERIAL	ADDSC	ADDATKSC	COLLECTIONS_SCORE	ADDHP	SLOWHP												
130010834 	37350				0.537	0	50	59													
130010844 	37800				0.541	0	51	59													
130010854 	38250				0.545	0	51	60													
130010865 	43000				0.596	0	56	66													
130010875 	43500				0.599	0	56	66													
130010885 	44000				0.603	0	57	67													
130010895 	44500				0.607	0	57	67													
130010905 	45000				0.611	0	58	68													
130010915 	50050				0.615	0	58	68													
130010925 	50600				0.619	0	58	69													
130010935 	51150				0.623	0	59	69													
130010945 	51700				0.627	0	59	70													
130010955 	52250				0.631	0	60	70													
130010965 	57600				0.635	0	60	71													
130010975 	58200				0.638	0	60	71													
130010985 	58800				0.642	0	61	71													
130010995 	59400				0.646	0	61	72													
130011005 	60000				0.697	0	66	78													
130020011 	24				0.0524	0	10	8													
130020021 	48				0.0572	0	11	8													
130020031 	72				0.062	0	11	9													
130020041 	96				0.0668	0	11	9													
130020051 	120				0.0704	0	12	11													
130020061 	252				0.0752	0	12	11													
130020071 	294				0.08	0	14	11													
130020081 	336				0.0848	0	14	12													
130020091 	378				0.0896	0	14	12													
130020101 	420				0.0944	0	15	13													
130020111 	528				0.0992	0	15	13													
130020121 	576				0.104	0	16	14													
130020131 	624				0.1088	0	16	14													
130020141 	672				0.1136	0	16	15													
130020151 	720				0.1172	0	17	15													
130020161 	960				0.122	0	17	17													
130020171 	1020				0.1268	0	17	17													
130020181 	1080				0.1316	0	18	18													
130020191 	1140				0.1364	0	18	18													
130020201 	1200				0.1412	0	20	18													
130020211 	1512				0.146	0	20	19													
130020221 	1584				0.1508	0	20	19													
130020231 	1656				0.1556	0	21	20													
130020241 	1728				0.1604	0	21	20													
130020251 	1800				0.164	0	22	21													
130020261 	2340				0.1688	0	22	21													
130020271 	2430				0.1736	0	22	23													
130020281 	2520				0.1784	0	23	23													
130020291 	2610				0.1832	0	23	24													
130020301 	2700				0.188	0	24	24													
130020311 	2976				0.1928	0	24	25													
130020321 	3072				0.1976	0	24	25													
130020331 	3168				0.2024	0	26	25													
130020341 	3264				0.2072	0	26	26													
130020351 	3360				0.2108	0	26	26													
130020361 	3888				0.2156	0	27	27													
130020371 	3996				0.2204	0	27	27													
130020381 	4104				0.2252	0	28	29													
130020391 	4212				0.23	0	28	29													
130020401 	4320				0.2348	0	28	30													
130020412 	4920				0.296	0	35	37													
130020422 	5040				0.3008	0	35	37													
130020432 	5160				0.3044	0	35	38													
130020442 	5280				0.3092	0	36	38													
130020452 	5400				0.314	0	36	38													
130020462 	6348				0.3188	0	36	39													
130020472 	6486				0.3236	0	38	39													
130020482 	6624				0.3284	0	38	41													
130020492 	6762				0.3332	0	39	41													
130020502 	6900				0.338	0	39	42													
130020512 	7650				0.3428	0	39	42													
130020522 	7800				0.3476	0	40	43													
130020532 	7950				0.3512	0	40	43													
130020542 	8100				0.356	0	41	44													
130020552 	8250				0.3608	0	41	44													
130020563 	13440				0.422	0	47	51													
130020573 	13680				0.4268	0	47	53													
130020583 	13920				0.4316	0	48	53													
130020593 	14160				0.4364	0	48	53													
130020603 	14400				0.4412	0	50	54													
130020613 	18300				0.4448	0	50	54													
130020623 	18600				0.4496	0	50	55													
130020633 	18900				0.4544	0	51	55													
130020643 	19200				0.4592	0	51	56													
130020653 	19500				0.464	0	52	56													
130020663 	23760				0.4688	0	52	57													
130020673 	24120				0.4736	0	52	57													
130020683 	24480				0.4784	0	53	59													
130020693 	24840				0.4832	0	53	59													
130020703 	25200				0.488	0	54	60													
130020714 	29820				0.548	0	60	66													
130020724 	30240				0.5528	0	60	67													
130020734 	30660				0.5576	0	60	67													
130020744 	31080				0.5624	0	62	68													
130020754 	31500				0.5672	0	62	68													
130020764 	36480				0.572	0	63	69													
130020774 	36960				0.5768	0	63	69													
130020784 	37440				0.5816	0	63	71													
130020794 	37920				0.5852	0	64	71													
130020804 	38400				0.59	0	64	72													
130020814 	43740				0.5948	0	64	72													
130020824 	44280				0.5996	0	65	73													
130020834 	44820				0.6044	0	65	73													
130020844 	45360				0.6092	0	66	73													
130020854 	45900				0.614	0	66	74													
130020865 	51600				0.6752	0	72	81													
130020875 	52200				0.6788	0	72	81													
130020885 	52800				0.6836	0	74	83													
130020895 	53400				0.6884	0	74	83													
130020905 	54000				0.6932	0	75	84													
130020915 	60060				0.698	0	75	84													
130020925 	60720				0.7028	0	75	85													
130020935 	61380				0.7076	0	76	85													
130020945 	62040				0.7124	0	76	86													
130020955 	62700				0.7172	0	77	86													
130020965 	69120				0.722	0	77	87													
130020975 	69840				0.7256	0	77	87													
130020985 	70560				0.7304	0	78	87													
130020995 	71280				0.7352	0	78	89													
130021005 	72000				0.7964	0	84	96													
130030011 	28				0.0778	0	7	8													
130030021 	56				0.0834	0	9	8													
130030031 	84				0.089	0	9	9													
130030041 	112				0.0946	0	9	9													
130030051 	140				0.0988	0	10	11													
130030061 	294				0.1044	0	10	11													
130030071 	343				0.11	0	12	11													
130030081 	392				0.1156	0	12	12													
130030091 	441				0.1212	0	12	12													
130030101 	490				0.1268	0	13	13													
130030111 	616				0.1324	0	13	13													
130030121 	672				0.138	0	14	15													
130030131 	728				0.1436	0	14	15													
130030141 	784				0.1492	0	14	16													
130030151 	840				0.1534	0	16	16													
130030161 	1120				0.159	0	16	18													
130030171 	1190				0.1646	0	16	18													
130030181 	1260				0.1702	0	17	19													
130030191 	1330				0.1758	0	17	19													
130030201 	1400				0.1814	0	19	19													
130030211 	1764				0.187	0	19	20													
130030221 	1848				0.1926	0	19	20													
130030231 	1932				0.1982	0	20	22													
130030241 	2016				0.2038	0	20	22													
130030251 	2100				0.208	0	21	23													
130030261 	2730				0.2136	0	21	23													
130030271 	2835				0.2192	0	21	25													
130030281 	2940				0.2248	0	23	25													
130030291 	3045				0.2304	0	23	26													
130030301 	3150				0.236	0	24	26													
130030311 	3472				0.2416	0	24	27													
130030321 	3584				0.2472	0	24	27													
130030331 	3696				0.2528	0	26	27													
130030341 	3808				0.2584	0	26	29													
130030351 	3920				0.2626	0	26	29													
130030361 	4536				0.2682	0	27	30													
130030371 	4662				0.2738	0	27	30													
130030381 	4788				0.2794	0	28	32													
130030391 	4914				0.285	0	28	32													
130030401 	5040				0.2906	0	28	33													
130030412 	5740				0.362	0	37	41													
130030422 	5880				0.3676	0	37	41													
130030432 	6020				0.3718	0	37	43													
130030442 	6160				0.3774	0	38	43													
130030452 	6300				0.383	0	38	43													
130030462 	7406				0.3886	0	38	44													
130030472 	7567				0.3942	0	40	44													
130030482 	7728				0.3998	0	40	46													
130030492 	7889				0.4054	0	41	46													
130030502 	8050				0.411	0	41	47													
130030512 	8925				0.4166	0	41	47													
130030522 	9100				0.4222	0	42	48													
130030532 	9275				0.4264	0	42	48													
130030542 	9450				0.432	0	44	50													
130030552 	9625				0.4376	0	44	50													
130030563 	15680				0.509	0	51	58													
130030573 	15960				0.5146	0	51	60													
130030583 	16240				0.5202	0	52	60													
130030593 	16520				0.5258	0	52	60													
130030603 	16800				0.5314	0	54	61													
130030613 	21350				0.5356	0	54	61													
130030623 	21700				0.5412	0	54	62													
130030633 	22050				0.5468	0	55	62													
130030643 	22400				0.5524	0	55	64													
130030653 	22750				0.558	0	56	64													
130030663 	27720				0.5636	0	56	65													
130030673 	28140				0.5692	0	56	65													
130030683 	28560				0.5748	0	58	67													
130030693 	28980				0.5804	0	58	67													
130030703 	29400				0.586	0	59	68													
130030714 	34790				0.656	0	66	75													
130030724 	35280				0.6616	0	66	76													
130030734 	35770				0.6672	0	66	76													
130030744 	36260				0.6728	0	68	78													
130030754 	36750				0.6784	0	68	78													
130030764 	42560				0.684	0	69	79													
130030774 	43120				0.6896	0	69	79													
130030784 	43680				0.6952	0	69	81													
130030794 	44240				0.6994	0	70	81													
130030804 	44800				0.705	0	70	82													
130030814 	51030				0.7106	0	70	82													
130030824 	51660				0.7162	0	72	83													
130030834 	52290				0.7218	0	72	83													
130030844 	52920				0.7274	0	73	83													
130030854 	53550				0.733	0	73	85													
130030865 	60200				0.8044	0	80	93													
130030875 	60900				0.8086	0	80	93													
130030885 	61600				0.8142	0	82	95													
130030895 	62300				0.8198	0	82	95													
130030905 	63000				0.8254	0	83	96													
130030915 	70070				0.831	0	83	96													
130030925 	70840				0.8366	0	83	97													
130030935 	71610				0.8422	0	84	97													
130030945 	72380				0.8478	0	84	99													
130030955 	73150				0.8534	0	86	99													
130030965 	80640				0.859	0	86	100													
130030975 	81480				0.8632	0	86	100													
130030985 	82320				0.8688	0	87	100													
130030995 	83160				0.8744	0	87	102													
130031005 	84000				0.9458	0	94	110													
130040011 	32				0.0586	0	8	9													
130040021 	64				0.0658	0	10	9													
130040031 	96				0.073	0	10	11													
130040041 	128				0.0802	0	10	11													
130040051 	160				0.0856	0	12	13													
130040061 	336				0.0928	0	12	13													
130040071 	392				0.1	0	14	13													
130040081 	448				0.1072	0	14	14													
130040091 	504				0.1144	0	14	14													
130040101 	560				0.1216	0	15	16													
130040111 	704				0.1288	0	15	16													
130040121 	768				0.136	0	17	18													
130040131 	832				0.1432	0	17	18													
130040141 	896				0.1504	0	17	20													
130040151 	960				0.1558	0	19	20													
130040161 	1280				0.163	0	19	22													
130040171 	1360				0.1702	0	19	22													
130040181 	1440				0.1774	0	21	23													
130040191 	1520				0.1846	0	21	23													
130040201 	1600				0.1918	0	23	23													
130040211 	2016				0.199	0	23	25													
130040221 	2112				0.2062	0	23	25													
130040231 	2208				0.2134	0	24	27													
130040241 	2304				0.2206	0	24	27													
130040251 	2400				0.226	0	26	29													
130040261 	3120				0.2332	0	26	29													
130040271 	3240				0.2404	0	26	31													
130040281 	3360				0.2476	0	28	31													
130040291 	3480				0.2548	0	28	32													
130040301 	3600				0.262	0	30	32													
130040311 	3968				0.2692	0	30	34													
130040321 	4096				0.2764	0	30	34													
130040331 	4224				0.2836	0	32	34													
130040341 	4352				0.2908	0	32	36													
130040351 	4480				0.2962	0	32	36													
130040361 	5184				0.3034	0	33	38													
130040371 	5328				0.3106	0	33	38													
130040381 	5472				0.3178	0	35	40													
130040391 	5616				0.325	0	35	40													
130040401 	5760				0.3322	0	35	41													
130040412 	6560				0.424	0	46	52													
130040422 	6720				0.4312	0	46	52													
130040432 	6880				0.4366	0	46	54													
130040442 	7040				0.4438	0	48	54													
130040452 	7200				0.451	0	48	54													
130040462 	8464				0.4582	0	48	56													
130040472 	8648				0.4654	0	50	56													
130040482 	8832				0.4726	0	50	58													
130040492 	9016				0.4798	0	51	58													
130040502 	9200				0.487	0	51	59													
130040512 	10200				0.4942	0	51	59													
130040522 	10400				0.5014	0	53	61													
130040532 	10600				0.5068	0	53	61													
130040542 	10800				0.514	0	55	63													
130040552 	11000				0.5212	0	55	63													
130040563 	17920				0.613	0	64	74													
130040573 	18240				0.6202	0	64	76													
130040583 	18560				0.6274	0	66	76													
130040593 	18880				0.6346	0	66	76													
130040603 	19200				0.6418	0	68	77													
130040613 	24400				0.6472	0	68	77													
130040623 	24800				0.6544	0	68	79													
130040633 	25200				0.6616	0	69	79													
130040643 	25600				0.6688	0	69	81													
130040653 	26000				0.676	0	71	81													
130040663 	31680				0.6832	0	71	83													
130040673 	32160				0.6904	0	71	83													
130040683 	32640				0.6976	0	73	85													
130040693 	33120				0.7048	0	73	85													
130040703 	33600				0.712	0	75	86													
130040714 	39760				0.802	0	84	95													
130040724 	40320				0.8092	0	84	97													
130040734 	40880				0.8164	0	84	97													
130040744 	41440				0.8236	0	86	99													
130040754 	42000				0.8308	0	86	99													
130040764 	48640				0.838	0	87	101													
130040774 	49280				0.8452	0	87	101													
130040784 	49920				0.8524	0	87	103													
130040794 	50560				0.8578	0	89	103													
130040804 	51200				0.865	0	89	104													
130040814 	58320				0.8722	0	89	104													
130040824 	59040				0.8794	0	91	106													
130040834 	59760				0.8866	0	91	106													
130040844 	60480				0.8938	0	93	106													
130040854 	61200				0.901	0	93	108													
130040865 	68800				0.9928	0	102	119													
130040875 	69600				0.9982	0	102	119													
130040885 	70400				1.0054	0	104	121													
130040895 	71200				1.0126	0	104	121													
130040905 	72000				1.0198	0	105	122													
130040915 	80080				1.027	0	105	122													
130040925 	80960				1.0342	0	105	124													
130040935 	81840				1.0414	0	107	124													
130040945 	82720				1.0486	0	107	126													
130040955 	83600				1.0558	0	109	126													
130040965 	92160				1.063	0	109	128													
130040975 	93120				1.0684	0	109	128													
130040985 	94080				1.0756	0	111	128													
130040995 	95040				1.0828	0	111	130													
130041005 	96000				1.1746	0	120	140													
130050011 	20				0.037	0	5	7													
130050021 	40				0.041	0	6	7													
130050031 	60				0.045	0	6	8													
130050041 	80				0.049	0	6	8													
130050051 	100				0.052	0	7	9													
130050061 	210				0.056	0	7	9													
130050071 	245				0.06	0	8	9													
130050081 	280				0.064	0	8	10													
130050091 	315				0.068	0	8	10													
130050101 	350				0.072	0	9	11													
130050111 	440				0.076	0	9	11													
130050121 	480				0.08	0	10	12													
130050131 	520				0.084	0	10	12													
130050141 	560				0.088	0	10	13													
130050151 	600				0.091	0	11	13													
130050161 	800				0.095	0	11	14													
130050171 	850				0.099	0	11	14													
130050181 	900				0.103	0	12	15													
130050191 	950				0.107	0	12	15													
130050201 	1000				0.111	0	13	15													
130050211 	1260				0.115	0	13	16													
130050221 	1320				0.119	0	13	16													
130050231 	1380				0.123	0	14	17													
130050241 	1440				0.127	0	14	17													
130050251 	1500				0.13	0	15	18													
130050261 	1950				0.134	0	15	18													
130050271 	2025				0.138	0	15	19													
130050281 	2100				0.142	0	16	19													
130050291 	2175				0.146	0	16	20													
130050301 	2250				0.15	0	17	20													
130050311 	2480				0.154	0	17	21													
130050321 	2560				0.158	0	17	21													
130050331 	2640				0.162	0	18	21													
130050341 	2720				0.166	0	18	22													
130050351 	2800				0.169	0	18	22													
130050361 	3240				0.173	0	19	23													
130050371 	3330				0.177	0	19	23													
130050381 	3420				0.181	0	20	24													
130050391 	3510				0.185	0	20	24													
130050401 	3600				0.189	0	20	25													
130050412 	4100				0.24	0	26	31													
130050422 	4200				0.244	0	26	31													
130050432 	4300				0.247	0	26	32													
130050442 	4400				0.251	0	27	32													
130050452 	4500				0.255	0	27	32													
130050462 	5290				0.259	0	27	33													
130050472 	5405				0.263	0	28	33													
130050482 	5520				0.267	0	28	34													
130050492 	5635				0.271	0	29	34													
130050502 	5750				0.275	0	29	35													
130050512 	6375				0.279	0	29	35													
130050522 	6500				0.283	0	30	36													
130050532 	6625				0.286	0	30	36													
130050542 	6750				0.29	0	31	37													
130050552 	6875				0.294	0	31	37													
130050563 	11200				0.345	0	36	43													
130050573 	11400				0.349	0	36	44													
130050583 	11600				0.353	0	37	44													
130050593 	11800				0.357	0	37	44													
130050603 	12000				0.361	0	38	45													
130050613 	15250				0.364	0	38	45													
130050623 	15500				0.368	0	38	46													
130050633 	15750				0.372	0	39	46													
130050643 	16000				0.376	0	39	47													
130050653 	16250				0.38	0	40	47													
130050663 	19800				0.384	0	40	48													
130050673 	20100				0.388	0	40	48													
130050683 	20400				0.392	0	41	49													
130050693 	20700				0.396	0	41	49													
130050703 	21000				0.4	0	42	50													
130050714 	24850				0.45	0	47	55													
130050724 	25200				0.454	0	47	56													
130050734 	25550				0.458	0	47	56													
130050744 	25900				0.462	0	48	57													
130050754 	26250				0.466	0	48	57													
130050764 	30400				0.47	0	49	58													
130050774 	30800				0.474	0	49	58													
130050784 	31200				0.478	0	49	59													
130050794 	31600				0.481	0	50	59													
130050804 	32000				0.485	0	50	60													
130050814 	36450				0.489	0	50	60													
130050824 	36900				0.493	0	51	61													
130050834 	37350				0.497	0	51	61													
130050844 	37800				0.501	0	52	61													
130050854 	38250				0.505	0	52	62													
130050865 	43000				0.556	0	57	68													
130050875 	43500				0.559	0	57	68													
130050885 	44000				0.563	0	58	69													
130050895 	44500				0.567	0	58	69													
130050905 	45000				0.571	0	59	70													
130050915 	50050				0.575	0	59	70													
130050925 	50600				0.579	0	59	71													
130050935 	51150				0.583	0	60	71													
130050945 	51700				0.587	0	60	72													
130050955 	52250				0.591	0	61	72													
130050965 	57600				0.595	0	61	73													
130050975 	58200				0.598	0	61	73													
130050985 	58800				0.602	0	62	73													
130050995 	59400				0.606	0	62	74													
130051005 	60000				0.657	0	67	80													
130060011 	20				0.057	0	3	5													
130060021 	40				0.061	0	4	5													
130060031 	60				0.065	0	4	6													
130060041 	80				0.069	0	4	6													
130060051 	100				0.072	0	5	7													
130060061 	210				0.076	0	5	7													
130060071 	245				0.08	0	6	7													
130060081 	280				0.084	0	6	8													
130060091 	315				0.088	0	6	8													
130060101 	350				0.092	0	7	9													
130060111 	440				0.096	0	7	9													
130060121 	480				0.1	0	8	10													
130060131 	520				0.104	0	8	10													
130060141 	560				0.108	0	8	11													
130060151 	600				0.111	0	9	11													
130060161 	800				0.115	0	9	12													
130060171 	850				0.119	0	9	12													
130060181 	900				0.123	0	10	13													
130060191 	950				0.127	0	10	13													
130060201 	1000				0.131	0	11	13													
130060211 	1260				0.135	0	11	14													
130060221 	1320				0.139	0	11	14													
130060231 	1380				0.143	0	12	15													
130060241 	1440				0.147	0	12	15													
130060251 	1500				0.15	0	13	16													
130060261 	1950				0.154	0	13	16													
130060271 	2025				0.158	0	13	17													
130060281 	2100				0.162	0	14	17													
130060291 	2175				0.166	0	14	18													
130060301 	2250				0.17	0	15	18													
130060311 	2480				0.174	0	15	19													
130060321 	2560				0.178	0	15	19													
130060331 	2640				0.182	0	16	19													
130060341 	2720				0.186	0	16	20													
130060351 	2800				0.189	0	16	20													
130060361 	3240				0.193	0	17	21													
130060371 	3330				0.197	0	17	21													
130060381 	3420				0.201	0	18	22													
130060391 	3510				0.205	0	18	22													
130060401 	3600				0.209	0	18	23													
130060412 	4100				0.26	0	24	29													
130060422 	4200				0.264	0	24	29													
130060432 	4300				0.267	0	24	30													
130060442 	4400				0.271	0	25	30													
130060452 	4500				0.275	0	25	30													
130060462 	5290				0.279	0	25	31													
130060472 	5405				0.283	0	26	31													
130060482 	5520				0.287	0	26	32													
130060492 	5635				0.291	0	27	32													
130060502 	5750				0.295	0	27	33													
130060512 	6375				0.299	0	27	33													
130060522 	6500				0.303	0	28	34													
130060532 	6625				0.306	0	28	34													
130060542 	6750				0.31	0	29	35													
130060552 	6875				0.314	0	29	35													
130060563 	11200				0.365	0	34	41													
130060573 	11400				0.369	0	34	42													
130060583 	11600				0.373	0	35	42													
130060593 	11800				0.377	0	35	42													
130060603 	12000				0.381	0	36	43													
130060613 	15250				0.384	0	36	43													
130060623 	15500				0.388	0	36	44													
130060633 	15750				0.392	0	37	44													
130060643 	16000				0.396	0	37	45													
130060653 	16250				0.4	0	38	45													
130060663 	19800				0.404	0	38	46													
130060673 	20100				0.408	0	38	46													
130060683 	20400				0.412	0	39	47													
130060693 	20700				0.416	0	39	47													
130060703 	21000				0.42	0	40	48													
130060714 	24850				0.47	0	45	53													
130060724 	25200				0.474	0	45	54													
130060734 	25550				0.478	0	45	54													
130060744 	25900				0.482	0	46	55													
130060754 	26250				0.486	0	46	55													
130060764 	30400				0.49	0	47	56													
130060774 	30800				0.494	0	47	56													
130060784 	31200				0.498	0	47	57													
130060794 	31600				0.501	0	48	57													
130060804 	32000				0.505	0	48	58													
130060814 	36450				0.509	0	48	58													
130060824 	36900				0.513	0	49	59													
130060834 	37350				0.517	0	49	59													
130060844 	37800				0.521	0	50	59													
130060854 	38250				0.525	0	50	60													
130060865 	43000				0.576	0	55	66													
130060875 	43500				0.579	0	55	66													
130060885 	44000				0.583	0	56	67													
130060895 	44500				0.587	0	56	67													
130060905 	45000				0.591	0	57	68													
130060915 	50050				0.595	0	57	68													
130060925 	50600				0.599	0	57	69													
130060935 	51150				0.603	0	58	69													
130060945 	51700				0.607	0	58	70													
130060955 	52250				0.611	0	59	70													
130060965 	57600				0.615	0	59	71													
130060975 	58200				0.618	0	59	71													
130060985 	58800				0.622	0	60	71													
130060995 	59400				0.626	0	60	72													
130061005 	60000				0.677	0	65	78													
130070011 	20				0.087	0	4	8													
130070021 	40				0.091	0	5	8													
130070031 	60				0.095	0	5	9													
130070041 	80				0.099	0	5	9													
130070051 	100				0.102	0	6	10													
130070061 	210				0.106	0	6	10													
130070071 	245				0.11	0	7	10													
130070081 	280				0.114	0	7	11													
130070091 	315				0.118	0	7	11													
130070101 	350				0.122	0	8	12													
130070111 	440				0.126	0	8	12													
130070121 	480				0.13	0	9	13													
130070131 	520				0.134	0	9	13													
130070141 	560				0.138	0	9	14													
130070151 	600				0.141	0	10	14													
130070161 	800				0.145	0	10	15													
130070171 	850				0.149	0	10	15													
130070181 	900				0.153	0	11	16													
130070191 	950				0.157	0	11	16													
130070201 	1000				0.161	0	12	16													
130070211 	1260				0.165	0	12	17													
130070221 	1320				0.169	0	12	17													
130070231 	1380				0.173	0	13	18													
130070241 	1440				0.177	0	13	18													
130070251 	1500				0.18	0	14	19													
130070261 	1950				0.184	0	14	19													
130070271 	2025				0.188	0	14	20													
130070281 	2100				0.192	0	15	20													
130070291 	2175				0.196	0	15	21													
130070301 	2250				0.2	0	16	21													
130070311 	2480				0.204	0	16	22													
130070321 	2560				0.208	0	16	22													
130070331 	2640				0.212	0	17	22													
130070341 	2720				0.216	0	17	23													
130070351 	2800				0.219	0	17	23													
130070361 	3240				0.223	0	18	24													
130070371 	3330				0.227	0	18	24													
130070381 	3420				0.231	0	19	25													
130070391 	3510				0.235	0	19	25													
130070401 	3600				0.239	0	19	26													
130070412 	4100				0.29	0	25	32													
130070422 	4200				0.294	0	25	32													
130070432 	4300				0.297	0	25	33													
130070442 	4400				0.301	0	26	33													
130070452 	4500				0.305	0	26	33													
130070462 	5290				0.309	0	26	34													
130070472 	5405				0.313	0	27	34													
130070482 	5520				0.317	0	27	35													
130070492 	5635				0.321	0	28	35													
130070502 	5750				0.325	0	28	36													
130070512 	6375				0.329	0	28	36													
130070522 	6500				0.333	0	29	37													
130070532 	6625				0.336	0	29	37													
130070542 	6750				0.34	0	30	38													
130070552 	6875				0.344	0	30	38													
130070563 	11200				0.395	0	35	44													
130070573 	11400				0.399	0	35	45													
130070583 	11600				0.403	0	36	45													
130070593 	11800				0.407	0	36	45													
130070603 	12000				0.411	0	37	46													
130070613 	15250				0.414	0	37	46													
130070623 	15500				0.418	0	37	47													
130070633 	15750				0.422	0	38	47													
130070643 	16000				0.426	0	38	48													
130070653 	16250				0.43	0	39	48													
130070663 	19800				0.434	0	39	49													
130070673 	20100				0.438	0	39	49													
130070683 	20400				0.442	0	40	50													
130070693 	20700				0.446	0	40	50													
130070703 	21000				0.45	0	41	51													
130070714 	24850				0.5	0	46	56													
130070724 	25200				0.504	0	46	57													
130070734 	25550				0.508	0	46	57													
130070744 	25900				0.512	0	47	58													
130070754 	26250				0.516	0	47	58													
130070764 	30400				0.52	0	48	59													
130070774 	30800				0.524	0	48	59													
130070784 	31200				0.528	0	48	60													
130070794 	31600				0.531	0	49	60													
130070804 	32000				0.535	0	49	61													
130070814 	36450				0.539	0	49	61													
130070824 	36900				0.543	0	50	62													
130070834 	37350				0.547	0	50	62													
130070844 	37800				0.551	0	51	62													
130070854 	38250				0.555	0	51	63													
130070865 	43000				0.606	0	56	69													
130070875 	43500				0.609	0	56	69													
130070885 	44000				0.613	0	57	70													
130070895 	44500				0.617	0	57	70													
130070905 	45000				0.621	0	58	71													
130070915 	50050				0.625	0	58	71													
130070925 	50600				0.629	0	58	72													
130070935 	51150				0.633	0	59	72													
130070945 	51700				0.637	0	59	73													
130070955 	52250				0.641	0	60	73													
130070965 	57600				0.645	0	60	74													
130070975 	58200				0.648	0	60	74													
130070985 	58800				0.652	0	61	74													
130070995 	59400				0.656	0	61	75													
130071005 	60000				0.707	0	66	81													
130080011 	24				0.0424	58	8	0													
130080021 	48				0.0472	64	9	0													
130080031 	72				0.052	70	9	0													
130080041 	96				0.0568	76	9	0													
130080051 	120				0.0604	82	10	0													
130080061 	252				0.0652	88	10	0													
130080071 	294				0.07	94	12	0													
130080081 	336				0.0748	100	12	0													
130080091 	378				0.0796	106	12	0													
130080101 	420				0.0844	112	13	0													
130080111 	528				0.0892	118	13	0													
130080121 	576				0.094	124	14	0													
130080131 	624				0.0988	130	14	0													
130080141 	672				0.1036	136	14	0													
130080151 	720				0.1072	142	15	0													
130080161 	960				0.112	148	15	0													
130080171 	1020				0.1168	154	15	0													
130080181 	1080				0.1216	160	16	0													
130080191 	1140				0.1264	166	16	0													
130080201 	1200				0.1312	172	18	0													
130080211 	1512				0.136	178	18	0													
130080221 	1584				0.1408	184	18	0													
