ID	SEE	STATISTICS	TYPE	CLOTHESID	NAME	RANK	PETDESC	ATK	ACTIVE_SKILLS	PASSIVE_SKILLS	OTHER_SKILL1	OTHER_SKILL2	RANK_ICON	RANK_ICON_2	CALL_TICKET	LUA_CLASS	MODEL	MODEL_ART	PET_ICON	POTENTIAL	TYPE_ICON	PET_TALK	FIGHT_ICON	PET_ICON_LIST	OPEN_TYPE	POSITION	ROTATION	SCALE		
13016 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	2		呆呆狸	S	会不时吐出音符的神奇动物呆呆狸	1		116001	暂未开放	暂未开放	chongwutb3	sdengji	15070000,9	HabiPet	Npc_Al	Npc_Al	Npc_Al_icon	48.59	xiaozhuazi	Npc_Al_talk	play_Al_icon	Npc_Al_list	1	0;-0.25;0	0;140;0	1.8;1.8;1.8		
13017 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	2		塔玛希·魂	S	会不时吐出音符的神奇动物塔玛希·魂	1		117001	暂未开放	暂未开放	chongwutb3	sdengji	15071000,9	AliPet	Npc_Hun	Npc_Hun	Npc_Hun_icon	48.31	xiaozhuazi		play_Hun_icon	Npc_Hun_list	1	0;0;0	12;-180;2	1.7;1.7;1.7		
13018 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	2		猫老师	S	会不时吐出音符的神奇动物猫老师	1	101033	118001	暂未开放	暂未开放	chongwutb3	sdengji	15072000,9	CatTeacherPet	Npc_Mmls	Npc_Mmls	Npc_Mmls_icon	48.51	xiaozhuazi	Npc_Mmls_talk	play_Mmls_icon	Npc_Mmls_list	0	-0.061;0.05;0	5.6;131.54;-6.90	1.5;1.5;1.5		
13019 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	2		黄金狸猫	S	会不时吐出音符的神奇动物黄金狸猫	1		119001	暂未开放	暂未开放	chongwutb3	sdengji	15073000,9		Npc_Snk	Npc_Snk	Npc_Snk_icon	48.58	xiaozhuazi	Npc_Snk_talk	play_Snk_icon	Npc_Snk_list	0	-0.05;0;0	0;125;0	1.5;1.5;1.5		
13020 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	2		独眼怪	S	会不时吐出音符的神奇动物独眼怪	1		120001	暂未开放	暂未开放	chongwutb3	sdengji	15074000,9		Npc_Dyg	Npc_Dyg	Npc_Dyg_icon	48.47	xiaozhuazi	Npc_Dyg_talk	play_Dyg_icon	Npc_Dyg_list	0	-0.14;0;0	0;130;0	2;2;2		
13021 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	2		提百万	SS	会不时吐出音符的神奇动物提百万	1		121001	暂未开放	暂未开放	chongwutb4	ssdengji	15075000,9	AliPet	ali	Npc_Tm	Unknow	52.79	xiaozhuazi		Unknow		0	0;0;0	0;0;0	1;1;1		
13022 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	2		皮神	SS	会不时吐出音符的神奇动物皮神	1	101024	122001	暂未开放	暂未开放	chongwutb4	ssdengji	15076000,9	PikachuPet	pikachu	Npc_Pkq	Npc_Pkq_icon	52.67	xiaozhuazi	Npc_Pkq_talk	play_Pkq_icon	Npc_Pkq_list	1	-0.07;0;0	8;135;-10.9999	1.5;1.5;1.5		
13023 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	3		草泥马	B	会不时吐出音符的神奇动物草泥马	1		123001	暂未开放	暂未开放	chongwutb1	bdengji			cnm_hourse	Mount_Cnm	Zq_cnm_icon	40.91			play_cnm_icon	Zq_cnm_list	0	0;-1.5;0	0;155;0	1;1;1		
13024 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	3		定春	A	会不时吐出音符的神奇动物定春	1		124001	暂未开放	暂未开放	chongwutb2	adengji			cnm_hourse	Mount_Dc	Unknow	44.12			Unknow		0	0;-1.5;0	0;155;0	1;1;1		
13025 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	3		UFO	A	会不时吐出音符的神奇动物UFO	1		125001	暂未开放	暂未开放	chongwutb2	adengji			ufo_mount	ufo_mount	Zq_ufo_icon	44.26			play_ufo_icon	Zq_ufo_list	0	0;-0.5;0	0;0;0	0.8;0.8;0.8		
13026 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	3		大黄鸭	S	会不时吐出音符的神奇动物大黄鸭	1		126001	暂未开放	暂未开放	chongwutb3	sdengji			rhubarb_duck_mount	Mount_Dhy	Zq_dhy_icon	48.5			play_dhy_icon	Zq_dhy_list	0	0;-1.4;0	0;125;0	0.8;0.8;0.8		
13027 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	3		彩虹猫	SS	会不时吐出音符的神奇动物彩虹猫	1		127001	暂未开放	暂未开放	chongwutb4	ssdengji			rhubarb_duck_mount	Mount_Chm	Unknow	52.72			Unknow		0	0;-1.4;0	0;125;0	0.8;0.8;0.8		
13028 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	3		草泥马变色版	S	会不时吐出音符的神奇动物草泥马变色版	1		128001	暂未开放	暂未开放	chongwutb3	sdengji			cnm_hourse_dark	Mount_CnmDark	Unknow	48.46			Unknow		0	0;-1.5;0	0;155;0	1;1;1		
13029 	COLLECTIONS_SCORE,ADDATKSC,ADDSC,ADDHP	ADDHP,ADDSC,ADDATKSC,GOLD_SCORE,COLLECTIONS_SCORE	3		UFO变色版	SS	会不时吐出音符的神奇动物UFO变色版	1		129001	暂未开放	暂未开放	chongwutb4	ssdengji			ufo_mount	Mount_FeidieDark	Unknow	52.75			Unknow		0	0;-0.5;0	0;0;0	0.8;0.8;0.8		
																														
																														
																														
